 
,,,,,,,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,,,-additional
Rk,Player,Age,Team,Pos,G,GS,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,A/G,Fmb,Awards,-9999
152,Marlon Mack,26,DEN,RB,6,0,16,84,1,4,75.0,17,5.3,14.0,2.7,0,,MackMa00
153,Desmond Ridder,23,ATL,QB,4,4,16,64,0,4,31.3,18,4.0,16.0,4.0,3,,RiddDe00
154,Corey Clement,28,ARI,RB,9,1,15,55,1,6,60.0,12,3.7,6.1,1.7,0,,ClemCo00
155,Phillip Lindsay,28,IND,RB,3,0,15,49,0,1,20.0,15,3.3,16.3,5.0,0,,LindPh00
156,Trace McSorley,27,ARI,QB,6,1,15,61,0,3,40.0,14,4.1,10.2,2.5,2,,McSoTr00
157,Darrynton Evans,24,CHI,RB,6,0,14,64,0,3,42.9,21,4.6,10.7,2.3,0,,EvanDa02
158,Colt McCoy,36,ARI,QB,4,3,14,36,0,5,42.9,9,2.6,9.0,3.5,2,,McCoCo00
159,Jarrett Stidham,26,LVR,QB,5,2,14,84,0,7,85.7,11,6.0,16.8,2.8,3,,StidJa00
160,Skylar Thompson,25,MIA,QB,7,2,14,21,0,1,14.3,9,1.5,3.0,2.0,2,,ThomSk00
161,Larry Rountree,23,LAC,RB,4,0,13,19,0,0,7.7,5,1.5,4.8,3.3,0,,RounLa00
162,Steven Sims,25,PIT,WR,12,2,13,70,0,5,53.8,22,5.4,5.8,1.1,3,,SimsSt00
163,Matthew Stafford,34,LAR,QB,9,9,13,9,1,3,38.5,4,0.7,1.0,1.4,5,,StafMa00
164,Jordan Wilkins,28,IND,RB,4,0,13,58,0,2,61.5,9,4.5,14.5,3.3,0,,WilkJo01
165,Jamal Agnew,27,JAX,WR,15,0,12,86,0,6,66.7,30,7.2,5.7,0.8,0,PB,AgneJa00
166,Salvon Ahmed,24,MIA,RB,12,0,12,64,1,4,75.0,11,5.3,5.3,1.0,0,,AhmeSa01
167,Tevin Coleman,29,SFO,RB,5,0,12,26,1,2,25.0,14,2.2,5.2,2.4,0,,ColeTe01
168,Snoop Conner,23,JAX,RB,8,0,12,42,1,2,58.3,8,3.5,5.3,1.5,0,,ConnSn00
169,Devin Duvernay,25,BAL,WR,14,13,12,84,1,7,66.7,18,7.0,6.0,0.9,1,PB,DuveDe00
